Country,Year,Income share of the poorest 50% (before tax) (World Inequality Database)
Afghanistan,2023,19.81
Albania,2023,18.279999
Algeria,2023,18.07
Andorra,2023,18.49
Angola,2023,9.51
Antigua and Barbuda,2023,14.059999
Argentina,2023,15.49
Armenia,2023,20.51
Australia,2023,17.17
Austria,2023,23.64
Azerbaijan,2023,23.4
Bahamas,2023,10.37
Bahrain,2023,11.469999
Bangladesh,2023,18.93
Barbados,2023,14.059999
Belarus,2023,25.45
Belgium,2023,21.5
Belize,2023,10.37
Benin,2023,17.05
Bhutan,2023,16.46
Bolivia,2023,10.37
Bosnia and Herzegovina,2023,18.49
Botswana,2023,8.690001
Brazil,2023,9.12
Brunei,2023,21.5
Bulgaria,2023,18.26
Burkina Faso,2023,15.610001
Burundi,2023,15.59
Cambodia,2023,13.98
Cameroon,2023,13.22
Canada,2023,17.25
Cape Verde,2023,13.259999
Central African Republic,2023,12.9800005
Chad,2023,15.75
Chile,2023,8.68
China,2023,13.73
Colombia,2023,6.38
Comoros,2023,11.97
Congo,2023,10.4800005
Costa Rica,2023,8.42
Cote d'Ivoire,2023,12.57
Croatia,2023,20.19
Cuba,2023,13.7
Cyprus,2023,21.07
Czechia,2023,28.420002
Democratic Republic of Congo,2023,12.37
Denmark,2023,22.83
Djibouti,2023,13.809999
Dominica,2023,14.059999
Dominican Republic,2023,11.44
East Timor,2023,18.68
Ecuador,2023,10.83
Egypt,2023,17.99
El Salvador,2023,10.52
Equatorial Guinea,2023,12.25
Eritrea,2023,16.97
Estonia,2023,19.66
Eswatini,2023,8.38
Ethiopia,2023,16.97
Fiji,2023,16.12
Finland,2023,22.84
France,2023,20.49
Gabon,2023,15.360001
Gambia,2023,14.97
Georgia,2023,15.18
Germany,2023,19.93
Ghana,2023,12.84
Greece,2023,20.5
Greenland,2023,16.12
Grenada,2023,14.059999
Guatemala,2023,10.37
Guinea,2023,19.67
Guinea-Bissau,2023,17.470001
Guyana,2023,10.37
Haiti,2023,10.37
Honduras,2023,10.37
Hungary,2023,22.390001
Iceland,2023,27.28
India,2023,14.749999
Indonesia,2023,13.58
Iran,2023,14.86
Iraq,2023,16.84
Ireland,2023,21.73
Israel,2023,14.360001
Italy,2023,16.56
Jamaica,2023,10.37
Japan,2023,18.48
Jordan,2023,16.64
Kazakhstan,2023,18.17
Kenya,2023,15.080001
Kiribati,2023,16.12
Kosovo,2023,18.65
Kuwait,2023,18.63
Kyrgyzstan,2023,18.72
Laos,2023,13.91
Latvia,2023,19.310001
Lebanon,2023,11.25
Lesotho,2023,11.97
Liberia,2023,16.65
Libya,2023,16.49
Liechtenstein,2023,18.49
Lithuania,2023,19.67
Luxembourg,2023,19.07
Madagascar,2023,13.339999
Malawi,2023,15.070001
Malaysia,2023,19.050001
Maldives,2023,19.85
Mali,2023,16.41
Malta,2023,22.2
Marshall Islands,2023,16.12
Mauritania,2023,18.39
Mauritius,2023,15.98
Mexico,2023,7.56
Micronesia (country),2023,16.12
Moldova,2023,18.82
Monaco,2023,18.49
Mongolia,2023,16.36
Montenegro,2023,16.55
Morocco,2023,15.469999
Mozambique,2023,10.13
Myanmar,2023,17.5
Namibia,2023,6.88
Nauru,2023,16.12
Nepal,2023,18.4
Netherlands,2023,24
New Caledonia,2023,16.12
New Zealand,2023,21.06
Nicaragua,2023,10.37
Niger,2023,17.800001
Nigeria,2023,16.689999
North Korea,2023,15.06
North Macedonia,2023,21.49
Norway,2023,24.050001
Oman,2023,9.58
Pakistan,2023,18.68
Palau,2023,16.12
Palestine,2023,13.490001
Panama,2023,10.37
Papua New Guinea,2023,13.74
Paraguay,2023,10.37
Peru,2023,8.93
Philippines,2023,15.700001
Poland,2023,19.59
Portugal,2023,19.89
Puerto Rico,2023,14.059999
Qatar,2023,10.61
Romania,2023,15.29
Russia,2023,15.469999
Rwanda,2023,12.790001
Saint Kitts and Nevis,2023,14.059999
Saint Lucia,2023,14.059999
Saint Vincent and the Grenadines,2023,14.059999
Samoa,2023,16.12
San Marino,2023,18.49
Sao Tome and Principe,2023,14.09
Saudi Arabia,2023,11.9800005
Senegal,2023,16.240002
Serbia,2023,16.18
Seychelles,2023,12.860001
Sierra Leone,2023,16.37
Singapore,2023,18.55
Slovakia,2023,24.130001
Slovenia,2023,24.2
Solomon Islands,2023,16.12
Somalia,2023,14.9800005
South Africa,2023,6.2700005
South Korea,2023,21.03
South Sudan,2023,12.58
Spain,2023,22.43
Sri Lanka,2023,15.29
Sudan,2023,17.09
Suriname,2023,10.37
Sweden,2023,24.529999
Switzerland,2023,23.86
Syria,2023,11.78
Taiwan,2023,11.469999
Tajikistan,2023,16.869999
Tanzania,2023,14.1
Thailand,2023,11.09
Togo,2023,15.4
Tonga,2023,16.12
Trinidad and Tobago,2023,10.37
Tunisia,2023,12.88
Turkey,2023,14.07
Turkmenistan,2023,12.96
Tuvalu,2023,16.12
Uganda,2023,13.11
Ukraine,2023,25.29
United Arab Emirates,2023,13.889999
United Kingdom,2023,19.93
United States,2023,13.44
Uruguay,2023,14.759999
Uzbekistan,2023,15.58
Vanuatu,2023,16.12
Venezuela,2023,10.37
Vietnam,2023,15.610001
Yemen,2023,10.16
Zambia,2023,9.36
Zimbabwe,2023,12.259999